sensor_type,event_timestamp_ns,elapsed_realtime_ns,wall_time_ms,x,y,z,accuracy
android.sensor.accelerometer,1468035613994947,1468036176688157,1775212844035,0.12801601,8.967103,4.4524446,3
android.sensor.gyroscope,1468035620027656,1468036176794355,1775212844035,0.03940078,-9.162972E-4,-0.018325943,3
android.sensor.gyroscope,1468036184976927,1468036202828939,1775212844061,0.09926552,-0.054672398,-0.021380268,3
android.sensor.accelerometer,1468036192284583,1468036202922585,1775212844061,0.0059820567,8.99821,3.7537405,3
android.sensor.accelerometer,1468036220778020,1468036229819720,1775212844088,-0.08015956,9.199206,3.586243,3
android.sensor.gyroscope,1468036222968125,1468036245193105,1775212844104,-0.024129158,-0.0962112,-0.025045456,3
android.sensor.accelerometer,1468036249271406,1468036258369512,1775212844117,0.049052864,9.069994,3.949952,3
android.sensor.gyroscope,1468036260959375,1468036277478001,1775212844136,0.016798781,-0.03695732,-0.0036651888,3
android.sensor.accelerometer,1468036277764843,1468036290944407,1775212844149,-0.032303106,9.055637,3.868596,3
android.sensor.gyroscope,1468036298950572,1468036315499043,1775212844174,0.040622506,-0.03451386,0.0,3
android.sensor.accelerometer,1468036306258229,1468036315612689,1775212844174,-0.061016977,9.007781,3.7298124,3
android.sensor.accelerometer,1468036334751614,1468036343870449,1775212844202,-0.013160525,9.11785,3.815954,3
android.sensor.gyroscope,1468036336941770,1468036353297585,1775212844212,-0.016798781,-0.050396346,0.02932151,3
android.sensor.accelerometer,1468036363245052,1468036372276751,1775212844231,0.16869399,9.127422,3.8111682,3
android.sensor.gyroscope,1468036374932968,1468036391338991,1775212844250,0.0051923506,0.01802051,0.033597562,3
android.sensor.accelerometer,1468036391738437,1468036400513730,1775212844259,0.111266255,9.041281,3.8781674,3
android.sensor.gyroscope,1468036412924218,1468036429473314,1775212844288,0.016187917,0.01802051,0.03176497,3
android.sensor.accelerometer,1468036420231875,1468036429591803,1775212844288,0.25004998,9.041281,3.882953,3
android.sensor.accelerometer,1468036448725260,1468036458319512,1775212844317,0.2835495,9.069994,3.8207395,3
android.sensor.gyroscope,1468036450915416,1468036467172012,1775212844326,-0.011300999,-0.047952887,-0.0140498895,3
android.sensor.accelerometer,1468036477218697,1468036486215918,1775212844345,0.14955142,9.060423,3.7298124,3
android.sensor.gyroscope,1468036488906614,1468036505231334,1775212844364,-0.016798781,-0.011911863,-0.0030543238,3
android.sensor.accelerometer,1468036505712083,1468036514730866,1775212844373,0.27876383,9.046066,3.734598,3
android.sensor.gyroscope,1468036526897864,1468036543073418,1775212844402,-0.017409647,-0.0033597562,-0.018325943,3
android.sensor.accelerometer,1468036534205520,1468036543209407,1775212844402,0.30269206,9.031709,3.8781674,3
android.sensor.accelerometer,1468036562698906,1468036571712637,1775212844430,0.17347965,9.012567,3.9451663,3
android.sensor.gyroscope,1468036564889062,1468036581030501,1775212844440,-0.038789913,-0.051007207,-0.053145237,3
android.sensor.gyroscope,1468036583884687,1468036605237897,1775212844464,-0.015577052,-0.051618073,-0.045814857,3
android.sensor.accelerometer,1468036591192343,1468036605368939,1775212844464,0.08733802,9.065208,3.8925242,3
android.sensor.accelerometer,1468036620761927,1468036628573418,1775212844487,0.07058827,9.077172,3.9020956,3
android.sensor.gyroscope,1468036626794635,1468036633266022,1775212844492,-0.01924224,-0.0021380268,-0.02687805,3
android.sensor.gyroscope,1468036650539166,1468036662758261,1775212844521,-0.01802051,-0.060781047,-0.02687805,3
android.sensor.accelerometer,1468036649255364,1468036662927116,1775212844521,0.046660043,8.969496,4.002594,3
android.sensor.accelerometer,1468036677748802,1468036685583470,1775212844544,0.12801601,9.0029955,3.9667017,3
android.sensor.gyroscope,1468036679032604,1468036685694928,1775212844544,-0.022907428,-0.11575887,-0.05253437,3
android.sensor.gyroscope,1468036702777083,1468036709191543,1775212844568,-0.051007207,-0.15729769,-0.06597339,3
android.sensor.accelerometer,1468036706242187,1468036720274928,1775212844579,0.08733802,9.069994,3.78724,3
android.sensor.gyroscope,1468036717023802,1468036735625605,1775212844594,-0.051007207,-0.1084285,-0.05986475,3
android.sensor.gyroscope,1468036726521614,1468036762494876,1775212844621,-0.031459536,-0.04612029,-0.041538805,3
android.sensor.accelerometer,1468036725237812,1468036762854147,1775212844621,-0.03708875,9.139386,3.7561333,3
android.sensor.gyroscope,1468036778759531,1468036785050866,1775212844644,-0.01802051,-0.0632245,-0.021991132,3
android.sensor.accelerometer,1468036782224635,1468036790361491,1775212844649,0.12083755,9.242277,3.7896328,3
android.sensor.gyroscope,1468036802504062,1468036809190397,1775212844668,-0.032681264,-0.05222894,-0.018325943,3
android.sensor.accelerometer,1468036810718072,1468036819815553,1775212844678,0.010767702,9.134601,3.9834516,3
android.sensor.gyroscope,1468036826248593,1468036832799043,1775212844691,-0.0021380268,-0.042455103,0.0024434591,3
android.sensor.accelerometer,1468036839211510,1468036847100032,1775212844706,0.13519448,8.993423,4.0217366,3
android.sensor.gyroscope,1468036849993125,1468036857350136,1775212844716,0.049174614,-0.01802051,-0.0073303776,3
android.sensor.accelerometer,1468036867704895,1468036875693418,1775212844734,0.008374879,9.065208,3.8063827,3
android.sensor.gyroscope,1468036873737604,1468036880127116,1775212844739,0.018631376,-0.008246674,0.0036651888,3
android.sensor.gyroscope,1468036892733229,1468036900158053,1775212844759,-0.0033597562,-0.021685699,0.010995566,3
android.sensor.accelerometer,1468036896198333,1468036904060188,1775212844763,0.111266255,9.055637,3.964309,3
android.sensor.gyroscope,1468036916477760,1468036925223470,1775212844784,0.014966187,-0.02535089,0.0073303776,3
android.sensor.accelerometer,1468036915193958,1468036925393105,1775212844784,0.096909314,9.038888,3.947559,3
android.sensor.gyroscope,1468036940222291,1468036947042063,1775212844806,-0.0021380268,-0.022907428,0.015882485,3
android.sensor.accelerometer,1468036943687395,1468036951695553,1775212844810,0.20458634,9.0029955,3.8446677,3
android.sensor.gyroscope,1468036963966822,1468036970526907,1775212844829,0.00763581,-0.011911863,0.0024434591,3
android.sensor.accelerometer,1468036972180833,1468036980277584,1775212844839,0.317049,9.010174,4.0648074,3
android.sensor.gyroscope,1468036987711354,1468036994553470,1775212844853,0.024740024,-0.059559315,-0.02687805,3
android.sensor.accelerometer,1468036991176406,1468037001090188,1775212844860,0.31226337,9.010174,3.842275,3
android.sensor.gyroscope,1468037011455833,1468037017826699,1775212844876,0.008857539,-0.041233372,-0.02932151,3
android.sensor.accelerometer,1468037019669843,1468037028212636,1775212844887,-0.02751746,9.062816,3.667599,3
android.sensor.gyroscope,1468037030451458,1468037038786959,1775212844897,-0.01802051,-0.010690134,-0.0024434591,3
android.sensor.accelerometer,1468037048163281,1468037056833209,1775212844915,0.12562318,9.101101,3.9547377,3
android.sensor.gyroscope,1468037054195989,1468037060556647,1775212844919,-0.024129158,-0.015577052,0.0061086477,3
android.sensor.gyroscope,1468037077940520,1468037084414511,1775212844943,-0.0058032153,-0.038789913,-0.019547673,3
android.sensor.accelerometer,1468037076656718,1468037084511751,1775212844943,0.28594232,9.0436735,3.952345,3
android.sensor.gyroscope,1468037101685052,1468037108756699,1775212844967,0.028405212,-0.009468404,-0.032986697,3
android.sensor.accelerometer,1468037105150156,1468037113343261,1775212844972,0.058624156,9.0341015,3.8638103,3
android.sensor.gyroscope,1468037115931770,1468037130991334,1775212844990,0.028405212,-0.013133593,-0.021991132,3
android.sensor.accelerometer,1468037133643593,1468037141735345,1775212845000,0.0634098,9.086744,3.667599,3
android.sensor.gyroscope,1468037149174114,1468037156357793,1775212845015,-0.031459536,0.0015271619,0.0012217296,3
android.sensor.accelerometer,1468037162137031,1468037170512011,1775212845029,0.08255238,9.069994,3.842275,3
android.sensor.gyroscope,1468037172918645,1468037180054459,1775212845039,-0.065667965,-0.01924224,0.0036651888,3
android.sensor.accelerometer,1468037190630416,1468037199962168,1775212845058,0.11844472,8.993423,4.0624146,3
android.sensor.gyroscope,1468037196663177,1468037202913470,1775212845061,-0.035124727,-0.0058032153,-0.0024434591,3
android.sensor.gyroscope,1468037215658750,1468037223073209,1775212845082,-0.008246674,0.0015271619,0.0024434591,3
android.sensor.accelerometer,1468037219123854,1468037227014928,1775212845086,0.07776674,8.979067,4.0528436,3
