frame_index,image_file_name,frame_timestamp_ns,pose_record_index,pose_timestamp_ns,time_delta_ms,image_intrinsics_mode,tracking_state
0,frame_1468037636381928.jpg,1468037636381928,1,1468037636381928,0.000,session_fixed,TRACKING
1,frame_1468037669745939.jpg,1468037669745939,2,1468037669745939,0.000,session_fixed,TRACKING
2,frame_1468037703172417.jpg,1468037703172417,3,1468037703172417,0.000,session_fixed,TRACKING
3,frame_1468037736536480.jpg,1468037736536480,4,1468037736536480,0.000,session_fixed,TRACKING
4,frame_1468037769900490.jpg,1468037769900490,5,1468037769900490,0.000,session_fixed,TRACKING
5,frame_1468037804088449.jpg,1468037804088449,6,1468037804088449,0.000,session_fixed,TRACKING
6,frame_1468037837452511.jpg,1468037837452511,7,1468037837452511,0.000,session_fixed,TRACKING
7,frame_1468037870816522.jpg,1468037870816522,8,1468037870816522,0.000,session_fixed,TRACKING
8,frame_1468037904556719.jpg,1468037904556719,9,1468037904556719,0.000,session_fixed,TRACKING
9,frame_1468037937920729.jpg,1468037937920729,10,1468037937920729,0.000,session_fixed,TRACKING
10,frame_1468037971284792.jpg,1468037971284792,11,1468037971284792,0.000,session_fixed,TRACKING
11,frame_1468038003900760.jpg,1468038003900760,12,1468038003900760,0.000,session_fixed,TRACKING
12,frame_1468038037264771.jpg,1468038037264771,13,1468038037264771,0.000,session_fixed,TRACKING
13,frame_1468038070628833.jpg,1468038070628833,14,1468038070628833,0.000,session_fixed,TRACKING
14,frame_1468038103075670.jpg,1468038103075670,15,1468038103075670,0.000,session_fixed,TRACKING
15,frame_1468038136439680.jpg,1468038136439680,16,1468038136439680,0.000,session_fixed,TRACKING
16,frame_1468038169803743.jpg,1468038169803743,17,1468038169803743,0.000,session_fixed,TRACKING
17,frame_1468038202928819.jpg,1468038202928819,18,1468038202928819,0.000,session_fixed,TRACKING
18,frame_1468038236292830.jpg,1468038236292830,19,1468038236292830,0.000,session_fixed,TRACKING
19,frame_1468038269656892.jpg,1468038269656892,20,1468038269656892,0.000,session_fixed,TRACKING
20,frame_1468038303640543.jpg,1468038303640543,21,1468038303640543,0.000,session_fixed,TRACKING
21,frame_1468038337004553.jpg,1468038337004553,22,1468038337004553,0.000,session_fixed,TRACKING
22,frame_1468038370368616.jpg,1468038370368616,23,1468038370368616,0.000,session_fixed,TRACKING
23,frame_1468038404366557.jpg,1468038404366557,24,1468038404366557,0.000,session_fixed,TRACKING
24,frame_1468038437730620.jpg,1468038437730620,25,1468038437730620,0.000,session_fixed,TRACKING
25,frame_1468038471094682.jpg,1468038471094682,26,1468038471094682,0.000,session_fixed,TRACKING
26,frame_1468038503827879.jpg,1468038503827879,27,1468038503827879,0.000,session_fixed,TRACKING
27,frame_1468038537191942.jpg,1468038537191942,28,1468038537191942,0.000,session_fixed,TRACKING
28,frame_1468038570556004.jpg,1468038570556004,29,1468038570556004,0.000,session_fixed,TRACKING
29,frame_1468038603625303.jpg,1468038603625303,30,1468038603625303,0.000,session_fixed,TRACKING
30,frame_1468038636989365.jpg,1468038636989365,31,1468038636989365,0.000,session_fixed,TRACKING
31,frame_1468038670353428.jpg,1468038670353428,32,1468038670353428,0.000,session_fixed,TRACKING
32,frame_1468038703490117.jpg,1468038703490117,33,1468038703490117,0.000,session_fixed,TRACKING
33,frame_1468038736854180.jpg,1468038736854180,34,1468038736854180,0.000,session_fixed,TRACKING
34,frame_1468038770218242.jpg,1468038770218242,35,1468038770218242,0.000,session_fixed,TRACKING
35,frame_1468038803355258.jpg,1468038803355258,36,1468038803355258,0.000,session_fixed,TRACKING
36,frame_1468038836719320.jpg,1468038836719320,37,1468038836719320,0.000,session_fixed,TRACKING
37,frame_1468038870083331.jpg,1468038870083331,38,1468038870083331,0.000,session_fixed,TRACKING
38,frame_1468038903292714.jpg,1468038903292714,39,1468038903292714,0.000,session_fixed,TRACKING
39,frame_1468038936656777.jpg,1468038936656777,40,1468038936656777,0.000,session_fixed,TRACKING
40,frame_1468038970020787.jpg,1468038970020787,41,1468038970020787,0.000,session_fixed,TRACKING
41,frame_1468039003553347.jpg,1468039003553347,42,1468039003553347,0.000,session_fixed,TRACKING
42,frame_1468039041090409.jpg,1468039041090409,43,1468039041090409,0.000,session_fixed,TRACKING
43,frame_1468039074454419.jpg,1468039074454419,44,1468039074454419,0.000,session_fixed,TRACKING
44,frame_1468039107667806.jpg,1468039107667806,45,1468039107667806,0.000,session_fixed,TRACKING
45,frame_1468039141031868.jpg,1468039141031868,46,1468039141031868,0.000,session_fixed,TRACKING
46,frame_1468039174395879.jpg,1468039174395879,47,1468039174395879,0.000,session_fixed,TRACKING
