property,shape,dtype,finite_count,total_count,min,max,mean
x,"(14290923,)",float32,14290923,14290923,-32.072410583496094,75.1601791381836,-0.1105227917432785
y,"(14290923,)",float32,14290923,14290923,-27.8121337890625,91.26639556884766,0.07537630200386047
z,"(14290923,)",float32,14290923,14290923,0.29004189372062683,131.28074645996094,1.538461446762085
nx,"(14290923,)",float32,14290923,14290923,0.0,0.0,0.0
ny,"(14290923,)",float32,14290923,14290923,0.0,0.0,0.0
nz,"(14290923,)",float32,14290923,14290923,0.0,0.0,0.0
f_dc_0,"(14290923,)",float32,14290923,14290923,-2.6861541271209717,3.1661694049835205,0.08449698239564896
f_dc_1,"(14290923,)",float32,14290923,14290923,-2.78501558303833,3.173563003540039,-0.12151038646697998
f_dc_2,"(14290923,)",float32,14290923,14290923,-2.4029123783111572,2.827049970626831,-0.23382192850112915
opacity,"(14290923,)",float32,14290923,14290923,-20.51945686340332,11.8152437210083,-7.464294910430908
scale_0,"(14290923,)",float32,14290923,14290923,-20.786033630371094,0.22661460936069489,-18.15375518798828
scale_1,"(14290923,)",float32,14290923,14290923,-16.622230529785156,0.22651036083698273,-5.376612186431885
scale_2,"(14290923,)",float32,14290923,14290923,-12.739697456359863,0.22661414742469788,-5.258501052856445
rot_0,"(14290923,)",float32,14290923,14290923,-0.7195197343826294,0.9150444269180298,-0.048218440264463425
rot_1,"(14290923,)",float32,14290923,14290923,-0.9970740675926208,0.9989966750144958,0.7143798470497131
rot_2,"(14290923,)",float32,14290923,14290923,-0.7297025918960571,0.6657734513282776,-0.05407463759183884
rot_3,"(14290923,)",float32,14290923,14290923,5.685046562575735e-05,0.9958103895187378,0.6340136528015137
