record_index,frame_timestamp_ns,image_file_name,image_path,width,height,fx,fy,cx,cy
1,1329419636842006,frame_1329419636842006.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329419636842006.jpg,640,480,456.27792,455.49878,317.64102,245.34378
16,1329420137585878,frame_1329420137585878.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329420137585878.jpg,640,480,456.27792,455.49878,317.64102,245.34378
23,1329420371409820,frame_1329420371409820.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329420371409820.jpg,640,480,456.27792,455.49878,317.64102,245.34378
29,1329420571348669,frame_1329420571348669.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329420571348669.jpg,640,480,456.27792,455.49878,317.64102,245.34378
35,1329420771717844,frame_1329420771717844.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329420771717844.jpg,640,480,456.27792,455.49878,317.64102,245.34378
42,1329421005570204,frame_1329421005570204.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329421005570204.jpg,640,480,456.27792,455.49878,317.64102,245.34378
48,1329421205575694,frame_1329421205575694.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329421205575694.jpg,640,480,456.27792,455.49878,317.64102,245.34378
54,1329421405510459,frame_1329421405510459.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329421405510459.jpg,640,480,456.27792,455.49878,317.64102,245.34378
58,1329421538898970,frame_1329421538898970.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329421538898970.jpg,640,480,456.27792,455.49878,317.64102,245.34378
63,1329421705661740,frame_1329421705661740.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329421705661740.jpg,640,480,456.27792,455.49878,317.64102,245.34378
68,1329421872490342,frame_1329421872490342.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329421872490342.jpg,640,480,456.27792,455.49878,317.64102,245.34378
74,1329422072620920,frame_1329422072620920.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329422072620920.jpg,640,480,456.27792,455.49878,317.64102,245.34378
80,1329422272778870,frame_1329422272778870.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329422272778870.jpg,640,480,456.27792,455.49878,317.64102,245.34378
86,1329422473048772,frame_1329422473048772.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329422473048772.jpg,640,480,456.27792,455.49878,317.64102,245.34378
91,1329422639859426,frame_1329422639859426.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329422639859426.jpg,640,480,456.27792,455.49878,317.64102,245.34378
95,1329422773247549,frame_1329422773247549.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329422773247549.jpg,640,480,456.27792,455.49878,317.64102,245.34378
99,1329422906738889,frame_1329422906738889.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329422906738889.jpg,640,480,456.27792,455.49878,317.64102,245.34378
103,1329423040146744,frame_1329423040146744.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329423040146744.jpg,640,480,456.27792,455.49878,317.64102,245.34378
107,1329423173592198,frame_1329423173592198.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329423173592198.jpg,640,480,456.27792,455.49878,317.64102,245.34378
111,1329423307036621,frame_1329423307036621.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329423307036621.jpg,640,480,456.27792,455.49878,317.64102,245.34378
115,1329423440457137,frame_1329423440457137.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329423440457137.jpg,640,480,456.27792,455.49878,317.64102,245.34378
118,1329423540574643,frame_1329423540574643.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329423540574643.jpg,640,480,456.27792,455.49878,317.64102,245.34378
121,1329423640621182,frame_1329423640621182.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329423640621182.jpg,640,480,456.27792,455.49878,317.64102,245.34378
125,1329423774074344,frame_1329423774074344.jpg,/content/trajectreview_input/session-20260402-051025/trajectreview/images/frame_1329423774074344.jpg,640,480,456.27792,455.49878,317.64102,245.34378
